Variable,Level,n,perc,k1,k2,k3,k4,k1_perc_lj,k2_perc_lj,k3_perc_lj,k4_perc_lj
Var1,l1,326,32.6,0.0,0.0,0.6868,1.0,0.0,0.0,2.1067,3.0675
Var1,l2,331,33.1,1.0,0.0,0.0,0.0,3.0211,0.0,0.0,0.0
Var1,l3,343,34.3,0.0,1.0,0.3132,0.0,0.0,2.9155,0.9131,0.0
Var2,l1,513,51.3,0.6948,0.0,0.3914,1.0,1.3544,0.0,0.763,1.9493
Var2,l2,487,48.7,0.3052,1.0,0.6086,0.0,0.6267,2.0534,1.2497,0.0
Var3,l1,255,25.5,0.0,0.4845,0.0,0.5841,0.0,1.9,0.0,2.2906
Var3,l2,220,22.0,0.0,0.5155,0.0,0.4159,0.0,2.3432,0.0,1.8905
Var3,l3,270,27.0,0.0,0.0,1.0,0.0,0.0,0.0,3.7037,0.0
Var3,l4,255,25.5,1.0,0.0,0.0,0.0,3.9216,0.0,0.0,0.0
